Title,AppleTV,AmazonPrime,RT_Link,RT_Score
Crimson Peak,https://tv.apple.com/us/movie/crimson-peak/umc.cmc.721yk7o44k8f16ltkvqg72ef,https://www.amazon.com/gp/video/detail/B016Q1LNR0/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B016Q1LVIG&qid=1754689678441,https://www.rottentomatoes.com/m/crimson_peak,72
Nightmare Alley,https://tv.apple.com/us/movie/nightmare-alley/umc.cmc.5q95gyt98ah83vbi386esu6t6,https://www.amazon.com/gp/video/detail/B0B6TGFQ2B/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B09Q1SQKPR&qid=1754689748823,https://www.rottentomatoes.com/m/nightmare_alley_2021,80
Dancer in the Dark,https://tv.apple.com/us/movie/dancer-in-the-dark/umc.cmc.13emt0jncyo7p2ng60v0j93y,https://www.amazon.com/gp/video/detail/B076RD2CLR/ref=atv_sr_fle_c_Tn74RA_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B076QS2NLD&qid=1754689848209,https://www.rottentomatoes.com/m/dancer_in_the_dark,70
Dogville,https://tv.apple.com/us/movie/dogville/umc.cmc.75dpjitjdklqnnzsi79m7p6st,https://www.amazon.com/gp/video/detail/B0B6PNKLMD/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0B6PPC1R2&qid=1754689973343,https://www.rottentomatoes.com/m/dogville,70
Melancholia,https://tv.apple.com/us/movie/melancholia/umc.cmc.1ybkcrhwf1bu9o6a1ih6ik9wl,https://www.amazon.com/gp/video/detail/B00BRA7WMQ/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B008I5BS6O&qid=1754690111856,https://www.rottentomatoes.com/m/melancholia_2011,79
Oppenheimer,https://tv.apple.com/us/movie/oppenheimer/umc.cmc.5gylew9icuhfiifdv3oxwxen8,https://www.amazon.com/gp/video/detail/B0CKRXVQK5/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0CKRY4Z3J&qid=1754690624664,https://www.rottentomatoes.com/m/oppenheimer_2023,93
Kill Bill: Vol. 1,https://tv.apple.com/us/movie/kill-bill-volume-1/umc.cmc.4wuzuc41xoivfyy271n49lcaq,https://www.amazon.com/gp/video/detail/B0CP4N6TN6/ref=atv_sr_fle_c_srda4994_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0CP4N2YSQ&qid=1754690710918,https://www.rottentomatoes.com/m/kill_bill_vol_1,85
Kill Bill: Vol. 2,https://tv.apple.com/us/movie/kill-bill-volume-2/umc.cmc.659e0ayjnp4136jil08gl0xex,https://www.amazon.com/gp/video/detail/B0BY3VNH9X/ref=atv_sr_fle_c_srda4994_4_1_4?sr=1-4&pageTypeIdSource=ASIN&pageTypeId=B0BY3T7PK9&qid=1754690710918,https://www.rottentomatoes.com/m/kill_bill_volume_2,84
Inglourious Basterds,https://tv.apple.com/us/movie/inglourious-basterds/umc.cmc.3r1vekw1q5380qojcz9t1ie6a,https://www.amazon.com/gp/video/detail/B00BUBMALU/ref=atv_sr_fle_c_sr4e8ffb_1_1_2?sr=1-2&pageTypeIdSource=ASIN&pageTypeId=B002UEW31I&qid=1754690914737,https://www.rottentomatoes.com/m/inglourious_basterds,89
Once Upon a Time... in Hollywood,https://tv.apple.com/us/movie/once-upon-a-timein-hollywood/umc.cmc.3z4cyiai3b0ui437ekpxou5yd,https://www.amazon.com/gp/video/detail/B07VF3YX41/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B07VF3XQCW&qid=1754690986944,https://www.rottentomatoes.com/m/once_upon_a_time_in_hollywood,86
2046,https://tv.apple.com/us/movie/2046/umc.cmc.1egonyjm2kta171999oa0c8qf?l=fr,https://www.amazon.com/gp/video/detail/B088VVKCT7/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0B8T729V7&qid=1754693888272,https://www.rottentomatoes.com/m/2046,87
The Grandmaster,https://tv.apple.com/us/movie/the-grandmaster/umc.cmc.3c8xi03pucm4cvpcqj6rm9y2h,https://www.amazon.com/gp/video/detail/B08VDG79Z4/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B00GNL96H8&qid=1754693984320,https://www.rottentomatoes.com/m/the_grandmaster,78
Sexy Beast,https://tv.apple.com/us/movie/sexy-beast/umc.cmc.hjhvulmp07gy8ee99g3yl0pt,https://www.amazon.com/gp/video/detail/B00C3LXFR4/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B001MXW5FC&qid=1754694844928,https://www.rottentomatoes.com/m/sexy_beast,87
Adaptation,https://tv.apple.com/us/movie/adaptation/umc.cmc.1uvve7sh16keq0skcea8rvvuf,https://www.amazon.com/gp/video/detail/B00BY9IVWU/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B000JPCXUQ&qid=1754694945872,https://www.rottentomatoes.com/m/1118700-adaptation,90
Where the Wild Things Are,https://tv.apple.com/us/movie/where-the-wild-things-are/umc.cmc.ch4qmszably0gsr14ajua5mp,https://www.amazon.com/gp/video/detail/B00BUAFFT0/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0091X50I4&qid=1754695022351,https://www.rottentomatoes.com/m/where_the_wild_things_are,73
Her,https://tv.apple.com/us/movie/her/umc.cmc.4ky5qbtddgx232de23d3bqr6i,https://www.amazon.com/gp/video/detail/B00IA3KGMG/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B00KATY250&qid=1754695139000,https://www.rottentomatoes.com/m/her,95
School of Rock,https://tv.apple.com/us/movie/school-of-rock/umc.cmc.im6cmmj5czmu1lrpj820whud,https://www.amazon.com/gp/video/detail/B00D5ETHES/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B000HX6VDU&qid=1754695229578,https://www.rottentomatoes.com/m/school_of_rock,92
Boyhood,https://tv.apple.com/us/movie/boyhood/umc.cmc.4axgvzn6bs6yn40r5z8sn6t2e,https://www.amazon.com/gp/video/detail/B0F24Z952Y/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0F2524PBY&qid=1754695296439,https://www.rottentomatoes.com/m/boyhood,97
Under the Skin,https://tv.apple.com/us/movie/under-the-skin/umc.cmc.1zykdmts3zoih21i9apfdwjp7,https://www.amazon.com/gp/video/detail/B0B8N27C87?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0B8MZMVSH&qid=1754695467668,https://www.rottentomatoes.com/m/under_the_skin_2013,83
The Zone of Interest,https://tv.apple.com/us/movie/the-zone-of-interest/umc.cmc.7kkyptyet8f8uon4ijegjj1di,https://www.amazon.com/gp/video/detail/B0CQKQTGSG/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0CQKQTLZT&qid=1754695549902,https://www.rottentomatoes.com/m/the_zone_of_interest,93
In the Mood for Love,https://tv.apple.com/us/movie/in-the-mood-for-love/umc.cmc.85nrk9pyw9t3yvl95oo5440,https://www.amazon.com/gp/video/detail/B09YQS61Z1/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B09YQVMXDJ&qid=1754696443859,https://www.rottentomatoes.com/m/in_the_mood_for_love_2001,92
Waking Life,https://tv.apple.com/us/movie/waking-life/umc.cmc.16mks3l92ujm57p1s5fgc375v,https://www.amazon.com/Waking-Life-Wiggins/dp/B008GM1FPI,https://www.rottentomatoes.com/m/waking_life,81
